GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.central,CentralSearch,324,93,34,4,66,23,20,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cache,DataCache,11,6,0,0,3,3,2,1,2,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cache,DataCacheFactory,58,141,4,6,13,34,4,6,1,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cache,DataCacheFactory.CacheType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftware,181,488,30,66,33,102,27,36,2,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability.Source,0,54,0,0,0,6,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,CweSet,4,30,0,0,1,6,1,5,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Vulnerability,89,205,9,5,23,66,11,29,4,29
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection.new Filter() {...},0,11,0,2,0,2,0,3,0,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Confidence,0,44,0,0,0,5,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,VulnerableSoftwareBuilder,45,253,0,0,9,57,9,32,9,32
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Evidence,96,137,21,9,18,26,21,8,6,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceCollection,177,288,36,22,45,69,30,23,3,14
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,EvidenceType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,CvssV3,16,156,8,8,0,31,8,12,0,12
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,CvssV2,12,122,6,6,0,25,6,10,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Dependency,340,653,52,36,66,192,46,67,11,58
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.dependency,Reference,57,60,6,0,11,20,5,9,2,9
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerDependency,52,21,6,0,15,8,5,4,2,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.composer,ComposerLockParser,36,134,5,9,10,28,5,6,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model,12,187,1,5,2,55,1,29,0,27
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomHandler,0,214,6,33,0,52,6,24,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,License,69,17,6,0,18,8,7,5,4,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomUtils,170,16,7,1,44,5,6,2,2,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomProjectInputStream,2,154,2,14,2,31,2,11,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,Model.PropertyLookup,11,0,0,0,4,0,2,0,2,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.pom,PomParser,41,71,1,1,9,16,1,4,0,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,NpmAuditParser,198,0,14,0,42,0,11,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,Advisory,122,0,0,0,52,0,35,0,35,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,NodeAuditSearch,344,0,22,0,81,0,17,0,5,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nodeaudit,SanitizePackage,139,0,14,0,29,0,8,0,1,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,NoDataException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,DependencyNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ExceptionCollection,153,34,4,0,49,8,14,4,12,4
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,H2DBLockException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,InitializationException,35,11,0,0,11,4,5,2,5,2
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ScanAgentException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.exception,ReportException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.Format,0,64,0,0,0,7,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator,420,401,47,38,107,89,38,23,3,11
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,EscapeTool,25,158,13,33,10,43,13,20,0,10
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportTool,14,48,3,3,6,11,2,4,0,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweHandler,41,0,4,0,8,0,5,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,App,173,0,8,0,34,0,7,0,3,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweDB,39,33,3,1,13,8,3,3,1,3
