GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,72,0,6,0,10,0,6,0,3,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,82,81,11,11,18,23,10,9,1,7
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,HttpResourceConnection,552,114,45,13,113,32,35,6,7,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,517,305,61,29,109,79,58,26,18,21
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,117,6,6,40,31,15,7,11,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},52,0,6,0,7,0,5,0,2,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,207,67,41,3,47,22,23,5,1,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ResourceNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,39,71,0,0,6,17,0,5,0,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,TooManyRequestsException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,72,95,9,2,12,29,6,5,1,4
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,28,168,2,6,7,39,2,14,0,12
